HomeTeamExpenditure,HomeTeamIncome,HomeTeamBalance,AwayTeamExpenditure,AwayTeamIncome,AwayTeamBalance,HomeElo,AwayElo,EloDiff,FTR,FTR
20.28,1.46,-18.81,13.33,6.88,-6.45,1552.9354264372153,1556.6033574014762,-3.667930964260904,1,D
33.47,10.0,-23.47,34.0,19.61,-14.4,1468.8412905807184,1423.3318079755577,45.509482605160656,-1,H
25.91,26.39,0.475,53.15,12.33,-40.82,1395.348191220269,1549.2691679864015,-153.92097676613253,-1,H
18.65,42.4,23.75,20.8,0.532,-20.27,1545.00093994609,1494.0263972586697,50.97454268742035,0,H
0.0,0.145,0.145,25.74,2.46,-23.29,1473.0919899551477,1501.0626287629907,-27.970638807842988,1,H
56.3,49.53,-6.78,16.87,5.53,-11.34,1489.2969773692234,1472.0511203137382,17.245857055485203,1,D
9.6,4.5,-5.1,25.74,2.46,-23.29,1568.093777863577,1558.0269969508784,10.066780912698732,0,H
20.28,1.46,-18.81,20.8,0.532,-20.27,1542.8158481501991,1484.8576413489147,57.958206801284405,1,A
33.47,10.0,-23.47,19.0,26.28,7.28,1440.5871024149071,1476.4103323054098,-35.823229890502716,-1,D
25.91,26.39,0.475,11.7,9.88,-1.83,1449.1801568369578,1440.2854498055974,8.89470703136044,0,D
0.0,0.145,0.145,13.33,6.88,-6.45,1508.5099148070726,1623.4855269631075,-114.97561215603491,0,H
20.8,0.532,-20.27,56.3,49.53,-6.78,1618.6952326432431,1533.9588014495534,84.73643119368967,1,H
52.39,37.72,-14.67,21.12,20.82,-0.305,1525.5158884190894,1503.5530247734596,21.962863645629795,1,H
19.0,26.28,7.28,20.28,1.46,-18.81,1558.4614932364975,1555.3365466292692,3.1249466072283667,1,D
13.33,6.88,-6.45,34.48,35.55,1.07,1541.4450059751143,1386.590362255792,154.85464371932244,-1,H
53.15,12.33,-40.82,33.47,10.0,-23.47,1457.795072909502,1451.8876487506786,5.90742415882346,1,D
11.7,9.7,-2.0,6.61,8.94,2.34,1440.669381303,1427.1282580136117,13.541123289388224,0,A
34.0,19.61,-14.4,0.0,0.145,0.145,1496.2114890545606,1528.6871137943797,-32.47562473981907,1,H
11.7,9.88,-1.83,18.65,42.4,23.75,1489.8691767067055,1567.659281577958,-77.79010487125242,1,H
16.87,5.53,-11.34,9.6,4.5,-5.1,1482.1028451712482,1448.7962253395551,33.30661983169307,0,H
25.74,2.46,-23.29,25.91,26.39,0.475,1472.3369428698447,1513.300209126937,-40.9632662570923,1,H
56.3,49.53,-6.78,52.39,37.72,-14.67,1522.546315891244,1573.3265820843408,-50.78026619309685,-1,D
21.12,20.82,-0.305,34.0,19.61,-14.4,1489.4999768036205,1508.1726281304148,-18.672651326794266,0,A
6.61,8.94,2.34,11.7,9.88,-1.83,1496.5398321080113,1440.0850598497402,56.45477225827108,1,A
34.48,35.55,1.07,25.74,2.46,-23.29,1450.2297989127485,1472.5400534817647,-22.31025456901625,1,D
20.28,1.46,-18.81,53.15,12.33,-40.82,1427.7125794668711,1480.6692715980553,-52.95669213118413,-1,A
33.47,10.0,-23.47,13.33,6.88,-6.45,1437.142668178416,1489.0973198887705,-51.95465171035448,0,H
25.91,26.39,0.475,19.0,26.28,7.28,1407.8658249429975,1630.1077182015524,-222.2418932585549,-1,H
0.0,0.145,0.145,20.8,0.532,-20.27,1512.2890975261166,1539.5689363889287,-27.279838862812085,-1,D
18.65,42.4,23.75,16.87,5.53,-11.34,1549.355830154249,1512.6095053228237,36.74632483142523,0,A
9.6,4.5,-5.1,11.7,9.7,-2.0,1540.471457781426,1520.169543287909,20.30191449351696,1,H
52.39,37.72,-14.67,9.6,4.5,-5.1,1486.8708284493182,1490.3053646757628,-3.4345362264446067,0,H
19.0,26.28,7.28,34.48,35.55,1.07,1636.6376614469982,1498.464448479556,138.17321296744217,1,A
13.33,6.88,-6.45,20.28,1.46,-18.81,1553.3935854354893,1466.1916882933108,87.2018971421785,0,D
53.15,12.33,-40.82,25.91,26.39,0.475,1506.045051151106,1547.775252898584,-41.73020174747808,0,A
11.7,9.7,-2.0,56.3,49.53,-6.78,1514.1900825784887,1554.5959499182288,-40.4058673397401,1,D
34.0,19.61,-14.4,33.47,10.0,-23.47,1456.5781641012022,1414.9813610962897,41.596803004912545,0,D
11.7,9.88,-1.83,21.12,20.82,-0.305,1427.5011813710423,1439.3691596178685,-11.86797824682617,-1,H
25.74,2.46,-23.29,0.0,0.145,0.145,1493.4004899686367,1509.1237105867092,-15.723220618072446,-1,D
16.87,5.53,-11.34,6.61,8.94,2.34,1586.1497005574938,1401.3358816975517,184.8138188599421,0,D
20.8,0.532,-20.27,18.65,42.4,23.75,1507.3672402582722,1509.723197418091,-2.3559571598188995,0,D
21.12,20.82,-0.305,53.15,12.33,-40.82,1489.1340665802086,1479.0788529327258,10.055213647482788,-1,A
56.3,49.53,-6.78,6.61,8.94,2.34,1545.982229165158,1408.6387861632222,137.34344300193584,1,H
20.8,0.532,-20.27,13.33,6.88,-6.45,1507.4689535462132,1454.7908176226144,52.6781359235988,1,H
52.39,37.72,-14.67,25.91,26.39,0.475,1578.8467960918233,1645.9680433463457,-67.12124725452236,-1,H
34.48,35.55,1.07,33.47,10.0,-23.47,1509.62148413015,1487.019104467891,22.602379662258954,0,D
53.15,12.33,-40.82,19.0,26.28,7.28,1416.7687075748777,1549.7058886277982,-132.93718105292055,0,H
20.28,1.46,-18.81,34.0,19.61,-14.4,1490.15708865719,1507.8380748845318,-17.68098622734192,1,D
0.0,0.145,0.145,11.7,9.7,-2.0,1494.5128502379027,1413.01336398642,81.49948625148272,1,H
16.87,5.53,-11.34,11.7,9.88,-1.83,1453.8569770024906,1469.8793851010018,-16.022408098511278,0,A
18.65,42.4,23.75,25.74,2.46,-23.29,1530.9267217480458,1523.44534762262,7.481374125425873,1,D
6.61,8.94,2.34,21.12,20.82,-0.305,1487.993553359898,1520.2119244510104,-32.21837109111243,0,A
