Date,HomeTeam,AwayTeam,FTR,HomeAvgGoal_25,AwayAvgGoal_25
2001-11-24,West Ham,Tottenham,A,,0.92
2001-11-25,Arsenal,Man United,H,,1.8
2001-11-25,Leeds,Aston Villa,D,,
2001-11-25,Liverpool,Sunderland,H,,1.0
2001-11-25,Middlesbrough,Ipswich,D,1.16,1.28
2001-12-01,Sunderland,West Ham,H,1.28,1.12
2001-12-01,Man United,Chelsea,A,2.56,1.28
2001-12-01,Derby,Liverpool,A,1.12,1.76
2001-12-01,Ipswich,Arsenal,A,1.52,1.28
2001-12-01,Blackburn,Middlesbrough,A,,1.12
2001-12-01,Aston Villa,Leicester,A,1.4,0.52
2001-12-01,Charlton,Newcastle,D,1.4,1.24
2001-12-02,Everton,Southampton,H,1.56,0.64
2001-12-02,Fulham,Leeds,D,,1.36
2001-12-03,Tottenham,Bolton,H,1.64,
2001-12-05,Chelsea,Charlton,A,2.08,1.08
2001-12-05,West Ham,Aston Villa,D,1.24,1.12
2001-12-08,Charlton,Tottenham,H,1.4,0.92
2001-12-08,Derby,Bolton,H,1.0,
2001-12-08,Fulham,Everton,H,,0.84
2001-12-08,Leicester,Southampton,A,1.28,0.6
2001-12-08,Liverpool,Middlesbrough,H,1.96,1.04
2001-12-08,Man United,West Ham,A,2.48,1.08
2001-12-09,Sunderland,Chelsea,D,1.28,1.36
2001-12-09,Ipswich,Newcastle,A,1.48,1.28
2001-12-09,Blackburn,Leeds,A,,1.36
2001-12-09,Arsenal,Aston Villa,H,2.36,1.16
2001-12-12,Liverpool,Fulham,D,2.0,
2001-12-12,Man United,Derby,H,2.24,0.68
2001-12-15,Bolton,Charlton,D,,1.12
2001-12-15,Everton,Derby,H,1.56,0.6
2001-12-15,Middlesbrough,Man United,A,1.12,1.8
2001-12-15,Newcastle,Blackburn,H,1.32,
2001-12-15,Southampton,Sunderland,H,1.32,0.92
2001-12-15,Tottenham,Fulham,H,1.64,
2001-12-15,West Ham,Arsenal,D,1.28,1.28
2001-12-16,Chelsea,Liverpool,H,1.92,1.8
2001-12-16,Leeds,Leicester,D,1.76,0.6
2001-12-17,Aston Villa,Ipswich,H,1.32,1.24
2001-12-18,Arsenal,Newcastle,A,2.4,1.24
2001-12-19,Leeds,Everton,H,1.76,0.84
2001-12-22,Sunderland,Everton,H,1.2,0.84
2001-12-22,Tottenham,Ipswich,A,1.76,1.24
2001-12-22,Man United,Southampton,H,2.32,0.76
2001-12-22,Leeds,Newcastle,A,1.84,1.36
2001-12-22,Leicester,West Ham,D,1.2,1.12
2001-12-22,Derby,Aston Villa,H,0.96,1.2
2001-12-22,Charlton,Blackburn,A,1.48,
2001-12-23,Chelsea,Bolton,H,2.0,
2001-12-23,Liverpool,Arsenal,A,1.88,1.28
2001-12-26,West Ham,Derby,H,1.24,0.52
2001-12-26,Southampton,Tottenham,H,1.36,0.96
2001-12-26,Newcastle,Middlesbrough,H,1.32,1.0
2001-12-26,Ipswich,Leicester,H,1.44,0.6
2001-12-26,Fulham,Charlton,D,,1.0
2001-12-26,Everton,Man United,A,1.56,1.76
2001-12-26,Bolton,Leeds,A,,1.4
2001-12-26,Blackburn,Sunderland,A,,0.92
2001-12-26,Aston Villa,Liverpool,A,1.24,1.68
2001-12-26,Arsenal,Chelsea,H,2.24,1.36
2001-12-29,West Ham,Liverpool,D,1.36,1.72
2001-12-29,Southampton,Leeds,A,1.28,1.52
2001-12-29,Newcastle,Chelsea,A,1.44,1.28
2001-12-29,Ipswich,Sunderland,H,1.48,1.04
2001-12-29,Everton,Charlton,A,1.56,0.92
2001-12-29,Bolton,Leicester,D,,0.6
2001-12-29,Blackburn,Derby,A,,0.48
2001-12-29,Aston Villa,Tottenham,D,1.28,0.96
2001-12-29,Arsenal,Middlesbrough,H,2.24,0.88
2001-12-30,Fulham,Man United,A,,1.72
2002-01-01,Tottenham,Blackburn,H,1.8,
2002-01-01,Sunderland,Aston Villa,D,1.24,1.16
2002-01-01,Liverpool,Bolton,D,1.8,
2002-01-01,Middlesbrough,Everton,H,1.08,0.76
2002-01-01,Chelsea,Southampton,A,2.2,0.76
2002-01-01,Charlton,Ipswich,H,1.4,1.24
2002-01-01,Leeds,West Ham,H,1.92,1.04
